Class,Message
what,what state is john f. kennedy buried in ?
what,what dummy received an honorary degree from northwestern university ?
what,what does inuit and eskimo mean ?
what,what fowl grabs the spotlight after the chinese year of the monkey ?
who,who founded the first aerodynamics laboratory in 1912 ?
who,who is desmond tutu ?
who,who is the `` queen mother '' ?
affirmation,can this filter be used under a sink ?
what,what actor said in a day at the races : `` either he 's dead or my watch has stopped '' ?
what,what actor first portrayed james bond ?
who,who wrote ` the pines of rome ' ?
what,what infectious disease is the world 's deadliest ?
unknown,how can i register my website in yahoo for free ?
unknown,why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?
who,who invented batteries ?
what,what is the origin of the name katie ?
who,who built the first pyramid ?
unknown,how many oceans are there and name them ?
unknown,how does a copier work ?
what,what 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?
unknown,how is silk screening done ?
unknown,how many double-word-score spaces are there on a scrabble crossword game board ?
what,what 's the literary term for a play on words ?
what,"what household facility contains a float ball , ballcock , and overflow tube ?"
what,what is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?
who,who is snoopy 's arch-enemy ?
who,who was william henry harrison ?
who,who was damocles ?
who,who did bobby fischer beat to win the world chess championship ?
what,what are shooting stars ?
unknown,how many gutenberg bibles are there ?
who,who was monet ?
unknown,how do you determine heating requirements for your home ?
what,in what year was de gaulle elected president of france ?
unknown,which of the following was rhodes scholar ?
unknown,which doonesbury character was likely to turn into a werewolf ?
when,what time do we go to the mall ?
who,who is known as `` the world 's oldest teenager '' ?
what,what was the education system in the 1960 's ?
what,what golfer has been called ohio fats and blobbo ?
what,what does god create in the first sentence of the bible ?
what,what creature scares people in the film `` jaws '' ?
unknown,how do fuel injectors work ?
who,who is stationed at camp swampy in the comic strips ?
who,who was the russian ambassador to hungary during the 1956 uprising ?
affirmation,will this work on astro turf to pick up small bugs and leaves ?
unknown,how much snow equals an inch of rain ?
who,who played emperor palpatine in star wars ?
who,who was the first president to appoint a woman to head a cabinet ?
what,what is the longest english word ?
who,who 's baby was sweet pea on the popeye cartoon ?
who,who took over as conductor of the boston pops after arthur fiedler 's long reign ?
who,who patented the first phonograph ?
affirmation,do you ship item to pr?
what,what does ` psi ' stand for ?
affirmation,has anyone used this on a brick driveway ?
unknown,where did the myth of santa claus originate ?
what,what was the claim to fame of king camp gillette ?
who,who sought to create the great society ?
who,who created private detective philip marlowe ?
who,who was the actor who played sam in the movie casablanca ?
unknown,"which mosquito 's bite draws blood , dt nn cc dt nn . ?"
what,"what does the word camaro mean , from the gm car the camaro ?"
when,when will jean aeul publish her next book ?
unknown,how many wives did brigham young have ?
what,what does the name `` anthony '' mean ?
who,who wrote ` hamlet ' ?
what,what makes a tornado turn ?
when,when was the battle of hastings ?
unknown,"which came first , according to genesis 1 : 2 : 22 - the chicken or the egg ?"
who,who is considered the first lady of the american stage ?
what,what spy novelist served as moscow correspondent for reuter and the times of london ?
unknown,where is the rose bowl played ?
what,what is mississippi 's state animal ?
what,what album put the beatles on the cover of time in 1967 ?
what,what party was winston churchill a member of ?
who,who should i call to get a tour of the new york stock exchange ?
who,who accompanied space ghost on his missions ?
who,who killed kurt cobain ?
who,who banned peter rose from baseball for betting on games ?
what,what makes a clitoris sensitive ?
who,who is the prophet that is most connected to the dead sea ?
who,who sells viagra ?
who,"who does shakespeare 's antonio borrow 3 , 0 ducats from ?"
who,who did jackie kennedy commission to write the death of a president ?
unknown,how many feet are there in a fathom ?
who,who holds the career record for the most major league home runs ?
what,what is a nanometer ?
what,what fictional character is known as the `` melancholy dane '' ?
what,what is australia day ?
what,what animal has the biggest eyes ?
unknown,name a technique widely used to detect birth defects ?
what,"what was organized as a confederate veterans ' social club in pulaski , in tennessee , in 1866 ?"
what,what are bear and bull markets ?
what,what 's the second-most-used vowel in english ?
who,who is langston hughes ?
when,when did mount st. helens last erupt ?
unknown,how many vietnamese were there in the soviet union ?
who,who is the current prime minister and president of russia ?
what,what country are godiva chocolates from ?
what,what broadway musical was inspired by cervantes 's don quixote ?
when,when was child labor abolished ?
who,"who lives at 24 sussex drive , ottawa ?"
what,what jewish holiday saw the start of the 1973 mideast war ?
who,who created dennis the menace ?
what,"what sun-blasted , 14-mile wide valley is just north of the mojave desert ?"
unknown,how is answers.com different from knowpost.com ?
what,what is bombay duck ?
unknown,how do chickens have baby chicks ?
who,who is rocky 's and bullwinkle 's ever-lost friend ?
what,what video game hero do some of his fans call chomper ?
what,what is a certified nurse midwife ?
who,who invented the toothbrush ?
who,who is count cinzano ?
unknown,how do you match a name to a social security number ?
when,when did the carolingian period begin ?
who,who are the presidents of mexico and indonesia ?
what,what country has the largest sheep population ?
who,who declared : `` i think i 'll go out and milk the elk '' ?
what,what century does captain video live in ?
unknown,how do doctors diagnose bone cancer ?
what,what did the only repealed amendment to the u.s. constitution deal with ?
unknown,how many fingers are used to draw a bow ?
what,what tv sitcom character had the maiden name ethel potter ?
who,who was charles lindbergh 's wife ?
what,what does nn o `` mean when used as a prefix in irish surnames ?
unknown,which way do you turn your bic to increase the flame - clockwise or counterclockwise ?
when,when was richard nixon born ?
unknown,which country is australia 's largest export market ?
who,who was jean nicolet ?
what,what stadium do the miami dolphins play their home games in ?
when,when is bastille day ?
unknown,name the organization that is presided by a security council .
what,what are liver enzymes ?
who,who was shakespeare 's moorish general ?
affirmation,is there a truck parked infront of the house ?
what,what language is mostly spoken in brazil ?
who,who made the most appearances in the center square on hollywood squares ?
who,who was gerald ford 's vice president ?
who,who was the author of the novel `` far from the madding crowd '' ?
who,who founded the unification church ?
who,who was the supreme god of germanic religion ?
what,what is the longest-running television series ?
what,what is the rarest coin ?
affirmation,is the cooking grate removable ?
what,what do mormons believe ?
what,what asian country has a bill of rights for cows ?
what,what plant has the largest seed ?
who,"who created the world wide web , www ?"
what,what disease is transmitted by the anopheles mosquito ?
who,who 's the king of swing ?
what,what film or films has jude law appeared in ?
who,who made the first airplane that could fly ?
unknown,how many colonies were involved in the american revolution ?
what,what does inri stand for when used on jesus ' cross ?
who,who was the star of leave it to beaver ?
who,who are the two sons of ozzie and harriet nelson ?
who,who is henry butler ?
what,what judith rossner novel was made into a film starring diane keaton ?
unknown,why is black the color of mourning in the west ?
who,who invented the stethoscope ?
what,what is the normal resting heart rate of a healthy adult ?
affirmation,can it be installed with a copper sink ?
what,what did dan aykroyd and john belushi quit saturday night live to become ?
what,what does the six-footed musca domestica become when it enters a house ?
who,who asked the musical question : `` have you ever been to electric lady land ?
what,what is prepared mustard ?
affirmation,does this come with the case ?
who,who was bonnie blue butler 's father ?
when,when did the dow first reach ?
what,when was `` the great depression '' ?
unknown,where can i find the best free evidence for debate about russia ?
what,what do you call a group of geese ?
what,what was mao 's second name ?
what,what is the fastest commercial automobile that can be bought in the us ?
what,what two countries share the khyber pass ?
who,"who wrote the book , `` the grinch who stole christmas '' ?"
unknown,whose autobiography is titled yes i can ?
what,what crop failure caused the irish famine ?
what,what holidays are celebrated in ireland ?
what,what is `` nine inch nails '' ?
what,what president-to-be was the first member of congress to enlist following the attack on pearl harbor ?
who,who won the nobel peace prize in 1991 ?
who,who invented the fax machine ?
who,who thought he 'd never see a poem lovely as a tree ?
unknown,what is the occupation of nicholas cage ?
what,what causes the body to shiver in cold temperatures ?
what,what was the name of that popular song the creeps sang ?
when,when did amtrak begin operations ?
who,who wrote ` dubliners ' ?
what,what is viscosity ?
when,when is the thai new year ?
what,what soap was touted as being `` for people who like people '' ?
unknown,where does chocolate come from ?
what,what is the origin of the name ` scarlett ' ?
unknown,which ventura county police department seized the largest cocaine shipment in it 's history ?
what,what is the full form of .com ?
unknown,how can i transport files from one computer to another ?
unknown,name the ranger who was always after yogi bear . ?
what,what is betsy ross famous for ?
what,what soft drink would provide me with the biggest intake of caffeine ?
what,what other name were the `` little rascals '' known as ?
what,what u.s. state borders illinois to the north ?
affirmation,does this test forlead ?
who,who was hitler 's minister of propaganda ?
who,who is malaysia 's 43rd prime minister ?
who,who was america 's first public enemy no. 1 ?
what,what is the fear of cockroaches called ?
when,when was cnn 's first broadcast ?
who,who starred in singing in the rain and the singing nun ?
affirmation,is this antimicrobial ?
when,"when did aldous huxley write , `` brave new world '' ?"
who,who is behind the name of the harvey wallbanger drink ?
who,who leads the star ship enterprise in star trek ?
unknown,how many holes are there in a tenpin bowling ball ?
unknown,how many hands does bjorn borg use when hitting his forehand ?
who,who is ishmael in moby dick ?
unknown,where can i find correct tabs for third eye blind songs ?
what,what is the difference between a generator and an alternator ?
what,what is the real name of disc jockey `` wolfman jack '' ?
what,what is latin for incompetent ?
what,what is a ball that hits the foul pole called ?
what,what level of government or governmental agency is responsible for dealing with racism ?
what,in what year did thatcher become prime minister ?
what,what day was pearl harbor attacked in 1942 ?
what,what is the nature of learning ?
what,"what 's the meaning of the latin battle cry : ad arma , ad arma . ?"
what,what is the dialogue circle in cartoons called ?
who,who is the nebbish that is marvel 's official mascot ?
when,when is the sun closest to the earth ?
unknown,where is trinidad ?
when,when is president nixon 's birthday ?
unknown,how long should a person wash their hands before they are clean ?
what,what stereo manufacturer is `` slightly ahead of its time '' ?
what,what is the full name of the plo ?
who,who was the first american citizen awarded the albert medal of the society of arts ?
who,who invented the game bowling ?
what,what does an average daycare provider get paid in new england ?
who,who portrayed `` rosanne rosanna-dana '' on the television show `` saturday night live '' ?
who,who sang the song `` hooked on a feeling '' in the dancing baby episode of `` ally mcbeal '' ?
when,when was the first steel mill in the united states built ?
what,what is a wop ?
who,who was the second man to walk on the moon ?
what,what 19th-century painter died in the marquesas islands ?
what,what was the name of the daughter of the virginia chief powhatan that married john rolfe ?
what,what did brontosauruses eat ?
what,what horse did zorro ride ?
what,what is answers.com 's address ?
unknown,how can i get some free technical information on electric vehicle ?
what,what chemicals are used in lethal injection ?
what,what age followed the bronze age ?
who,who danced into stardom with fred astaire in 1941 's you 'll never get rich ?
what,what is the nickname for the state of mississippi ?
unknown,where on the internet can i find a song lyrics database similar to the international lyrics server ?
what,"what card game has variations called canfield , klondike and spider ?"
what,what body of water does the danube river flow into ?
affirmation,can it be used for a gas drier ?
what,what is the acreage of the chappellet vineyard ?
what,what south korean city is served by kimpo international airport ?
what,what girl 's name is `` teddy '' an affectionate form of ?
what,what was american folk hero john chapman 's nickname ?
unknown,which company created the internet browser mosaic ?
unknown,how do you look up criminal records on the internet ?
who,who is coronado ?
affirmation,can these be used for gas stove burner ?
unknown,how many innings are there in a regulation softball game ?
who,who is the fastest swimmer in the world ?
what,what are halloween 's colors ?
who,who were the `` filthiest people alive ?
unknown,whose cupboard was bare ?
affirmation,would this work on a 2008 ford edge with a naked roof ?
unknown,how many miles is it to ohio from north carolina ?
what,what country 's people are the top television watchers ?
what,what spanish artist painted crucifixion ?
what,what day of the week sees the most fatal car accidents ?
what,what is an isthmus ?
what,what 's the only work by michelangelo that bears his signature ?
what,what animals do you find in the stock market ?
who,who is the current un secretary general ?
what,what country did the nazis occupy for ? .
affirmation,is it made in usa ?
what,what is the deepest area of the arctic ocean ?
who,who was the first english circumnavigator of the globe ?
who,who wrote the bible ?
when,when did they canonize the bible ?
what,what is white chocolate ?
unknown,how is a hydrogen bomb different from a nuclear bomb ?
who,who shot billy the kid ?
affirmation,does this hose have one ?
what,what american league baseball team 's worst finish between 1926 and 1964 was fourth ?
who,who won the battle of gettysburg ?
what,what 's nature 's purpose for tornadoes ?
when,when was queen victoria born ?
what,what was the name of the orca that died of a fungal infection ?
unknown,how many students attend the university of massachusetts ?
affirmation,can an extended warranty be purchased for this product ?
what,what does a spermologer collect ?
when,when did spielberg direct `` jaws '' ?
who,who was the first actress to appear on a postage stamp ?
who,who was the conservationist who served as spokesperson for post grape nuts ?
what,what was the name of the 187s irish terrorist group in pennsylvania mining areas ?
what,what is the mascot for notre dame university ?
unknown,where do chihuahuas come from ?
what,what are some interesting facts and information about dogsledding ?
unknown,"how much would a black-and-white 1-cent stamp be worth , thomas jefferson on it , ?"
who,who made stonehenge ?
what,when was hurricane hugo ?
unknown,how successful is arometherapy ?
what,what country 's national passenger rail system is called via ?
who,who died 1 feet from where john f. kennedy did ?
what,what hollywood dog died in the arms of jean harlow in 1932 ?
who,who was credited with saying : `` i never met a man i did n't like '' ?
what,"what actor starred in 1980 's blue lagoon , 1982 's the pirate movie and 1983 's a night in heaven ?"
when,when are sheep shorn ?
when,when was the de beers company founded ?
who,"who killed more people , hitler or stalin ?"
what,what is the date of boxing day ?
unknown,"which is the largest clock , diameter wise , in europe ?"
unknown,how can you contact play producers and promoters on-line ?
unknown,how many years ago did the ship titanic sink ?
who,who is the fastest guitarist ?
unknown,"on average , how many miles are there to the moon ?"
what,what texas city got its name from the spanish for `` yellow '' ?
what,what are the four elements ?
what,what is the origin of head lice ?
what,what killed bob marley ?
what,what letter is to the right of k on a typewriter keyboard ?
what,what is bph ?
unknown,where 's the 19th hole on a golf course ?
what,what is the average cost for four years of medical school ?
what,what fastener did whitcomb judson patent in 1893 ?
affirmation,can show temperature in celsius degrees ?
what,what is titanium ?
what,what two colors are you blind to if you suffer from protanopia ?
who,who was israel 's first prime minister ?
unknown,where is procter & gamble headquartered in the u.s. ?
what,what are the seven virtues ?
who,who sings angel eyes from the 80 's ?
what,what mammal of north america is the world 's longest-lived for its size ?
who,"who played the part of the godfather in the movie , ` the godfather ' ?"
who,who said : `` what contemptible scoundrel stole the cork from my lunch ? ''
who,who were leaders of the byzantine empire ?
what,what is the daily requirement of folic acid for an expectant mother ?
unknown,how do you say i love you in spanish ?
who,who liberated 19th century sicily and naples ?
who,who lived on the shores of the gitchee gumee river ?
when,when is the site www.questions.com going to open ?
what,what was michelangelo 's last name ?
affirmation,are these lead free ?
what,what former major-league left-handed baseball pitcher was known as `` space man '' ?
when,"when reading classified ads , what does eenty : other stand for ?"
what,what is the second hardest substance ?
what,what is the most advanced handheld calculator in the world ?
unknown,how do i make fuel bricks from recycled newspaper ?
unknown,which oil company almost picked a word that meant `` stalled car '' in japanese as its new international name ?
what,what south american city has the world 's highest commercial landing field ?
who,who is robin williams ?
who,who fired maria ybarra from her position in san diego council ?
what,what is the leading pecan and peanut growing state ?
what,what is the lowest level of the american judiciary ?
when,when does the average teenager first have intercourse ?
what,what diminutive american female gymnast stole the show at the 1984 olympics ?
who,who invented the lawnmower ?
unknown,how do i get another city 's newspaper ?
affirmation,can this be used on gas stove when making polenta which needs low heat. ?
unknown,how do you correctly say the word ` qigong ' ?
when,when was the san francisco fire ?
who,who was the last woman executed in england ?
what,what is spumante ?
affirmation,can you use on a airplane ?
who,who was the inventor of the stove ?
affirmation,do you have replacement knobs for hotpoint stove ?
unknown,how many species of sharks are there ?
unknown,how many cds has garth brooks sold ?
affirmation,is this easier to pull out than the plastic stopper ?
what,what is the aim-54c phoenix ?
what,what are the nordic nations ?
who,who was secretary of state during the nixon administration ?
when,what time of day did emperor hirohito die ?
unknown,whose cover is that of an employee of universal import and export ?
what,what russian seaport has a name meaning `` lord of the east '' ?
who,who was made the first honorary citizen of the u.s. ?
what,what are two plants that clothes are made from ?
what,what soviet leader owned a rolls-royce ?
what,what country 's capital is tirana ?
what,what is november 's birthstone ?
affirmation,do these work on induction cooktops ?
what,what are the 7 articles of the constitution ?
who,who is the leader of india ?
what,what film marked robert redford 's directorial debut ?
affirmation,can i install on wall ?
what,what city was president william mckinley shot in ?
unknown,how you can raise your iq ?
what,what is an annotated bibliography ?
who,who wrote the poem that starts `` i love your lips when they 're wet with wine and red with a warm desire '' ?
who,who said `` the only thing we have to fear is fear itself '' ?
who,who earns their money the hard way ?
what,what italian liner was hijacked in 1985 ?
who,who was red grange ?
what,mccarren airport is located in what city ?
unknown,where was george washington born ?
who,who is the actress bette davis once said she wished she looked like ?
who,who said `` give me liberty or give me death '' ?
what,what is the definition of low island ?
what,what is a virtual ip address ?
what,what does the name shawn mean ?
what,who was the first host of person to person ?
what,what year did germany sign its nonaggression pact with the soviet union ?
what,what are the world 's four oceans ?
what,what is jane goodall known for ?
what,what does the name gina mean ?
unknown,how is easter sunday 's date determined ?
what,what color of dry wine should be served with veal roasts and chops ?
what,what 's the common name for acetylsalicylic acid ?
who,who was the first american in space ?
what,what is the difference between a median and a mean ?
when,when did thatcher become prime minister ?
what,when is boxing day ?
who,who received the will rogers award in 1989 ?
what,what famous model was married to billy joel ?
what,in what medium is stuart hamblen considered to be the first singing cowboy ?
what,what does `` extended definition '' mean and how would one write a paper on it ?
when,when was the slinky invented ?
what,what company 's logo is a `` w '' in a circle ?
what,what is the origin of the word . ?
what,what desert has been called the garden of allah ?
unknown,how do ouija boards work ?
who,who holds the nfl record for most touchdowns in a season ?
what,what is the abbreviation of the company name ` general motors ' ?
what,what is the chromosome number of an elephant ?
what,what does it mean `` rupee depreciates '' ?
who,who won world war ii ?
unknown,which company that manufactures video-game hardware sells the `` super system '' ?
who,who started the dominos pizza chain ?
affirmation,does this filter fit the holmes hm5100 ?
affirmation,are there six filters for the price shown ?
when,when was the battle of the somme fought ?
what,what type of food makes you fat ?
what,what kind of animal is babar ?
affirmation,is there a connection for the dish washer ?
unknown,how many boys play the game in winslow homer 's 1872 painting snap the whip ?
what,what does gringo mean ?
what,what is the abbreviation for micro ?
unknown,how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?
unknown,how do i tie dye clothes ?
unknown,which of the following men was not married to rita hayworth ?
unknown,"where is the actress , marion davies , buried ?"
affirmation,does this freezer automatically defrost ?
what,what is dry ice ?
what,what is the origin of the word `` attic '' ?
who,who is the owner of cnn ?
what,what was the name of the lawyer who represented randy craft ?
what,what u.s. state lived under six flags ?
who,who 's won the most oscars for costume design ?
what,what is the definition of a cascade ?
who,who are woody woodpecker 's niece and nephew ?
who,who was the charlie perfume woman ?
who,who is the leading competitor of trans union company ?
who,who was the author of the book about computer hackers called `` the cuckoo 's egg : tracking a spy through the maze of computer espionage '' ?
what,what is the function of ram ?
what,what color are tennis balls ?
what,what are hook worms ?
affirmation,can i just throw them in trash ?
unknown,define the pheonix club ?
affirmation,does this pick up dust without blowing it out the bag ?
who,who played the title role in i was a teenage werewolf ?
who,who is peter weir ?
what,what year did jack nicklaus join the professional golfers association tour ?
unknown,how many months does it take the moon to revolve around the earth ?
unknown,why were people recruited for the vietnam war ?
what,what was the name of the cook on rawhide ?
when,what time are you thinking of going to the dentist ?
what,what does a topophobic actor suffer from ?
who,"who says , `` if you don 't look good , we don 't look good '' ?"
unknown,how many revolutions does a standard lp make in three minutes ?
who,who was the pride of the yankees ?
who,who was the first black woman to star in the folies bergeres ?
what,what are the top ten most common girl names in the us ?
who,who served as inspiration for the schoolteacher portrayed by robin williams in `` dead poets society '' ?
who,who was the first man to return to space ?
who,who commanded the french forces at the battle of orleans ?
who,who took the toys donated for the doodyville orphans ' fund and kept them for himself ?
who,who was randy steven craft 's lawyer ?
what,when is the tulip festival in michigan ?
affirmation,is there an expiration date on any of the tests ?
who,who won the first world series ?
who,"who was shot in the back during a poker game in deadwood , the dakota territory ?"
what,what is the temperature for baking peachy oat muffins ?
unknown,name the operating system that runs on ibm-compatible machines . ?
who,who was the lawyer who represented randy steven craft ?
unknown,why did the world enter a global depression in 1929 ?
what,what is olestra ?
what,what is the student population at the university of massachusetts in amherst ?
who,who comprised the now-defunct comic book team known as the champions ?
unknown,how many jews were executed in concentration camps during wwii ?
unknown,how do you say 2 in latin ?
unknown,how many types of dogs ' tails are there - three ?
when,what time are we leaving ?
affirmation,are the lights dimmable?
affirmation,can this tank be used for black water ?
what,what breed of dog was the `` little rascals '' dog ?
who,who is the president of stanford university ?
what,"what is black hills , south dakota most famous for ?"
unknown,why did the chicken cross the road ?
unknown,how long does it take for spider-man 's web to evaporate ?
who,who claims to have the greatest show on earth ?
who,who is terrence malick ?
unknown,which city did christian crusaders fight to recapture from the muslims ?
affirmation,will this work to connect a wgd9200sq0 to a wfw9150ww00 washer ?
what,what kind of animals were in the paleozoic era ?
what,what does ribavirin consist of ?
unknown,"how many people on the ground were killed from the bombing of pan am flight 103 over lockerbie , scotland , december 21 , cd . ?"
what,what is a caldera ?
what,italy is the largest producer of what ?
who,who is the premier of china ?
what,what is a fear of food ?
who,who shared a new york city apartment with roger maris the year he hit 61 home runs ?
who,who is the queen of holland ?
who,"who created the fantastic four , hulk , and thor ?"
unknown,how many layers of yellow paint is a faber mongol pencil lucky enough to be sprayed with ?
what,what kind of education do i need to become a flight attendant ?
who,who is actress goldie hawn 's current actor boyfriend ?
what,what does `` janelle '' mean ?
who,who killed gandhi ?
what,what percentage of americans own their homes ?
who,who has more dna - a man or a woman ?
who,who was the first person to study the stars ?
what,what are the two languages of malta ?
who,who was the first taiwanese president ?
what,what does sids stand for ?
who,who was the first black golfer to tee off in the masters ?
what,what actress has received the most oscar nominations ?
what,what company tabulates the ballots in voting for the academy awards ?
what,what is `` snoogans '' ?
who,who founded the people 's temple commune ?
affirmation,are they made in the usa ?
who,who invented the vacuum cleaner ?
who,who was the inventor of silly putty ?
who,who was the author of the famous fairy tale `` snow white and seven dwarfs '' ?
what,what product did robert conrad dare people to knock off his shoulder ?
who,who is the best known villain of the 165 gunpowder plot ?
what,what actor married john f. kennedy 's sister ?
what,"what boris pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?"
unknown,how many referees work a soccer game ?
who,who was lauren bacall 's first husband ?
what,what was the name of the `` little rascals '' dog ?
unknown,when did the bounty mutiny take place ?
what,what is her profession ?
unknown,in what olympic games did nadia comaneci become popular ?
when,when was berlin 's brandenburg gate erected ?
affirmation,is there any pizza left ?
affirmation,will the ltf lint dryer kit work on a gas dryer ?
who,who claimed to be the world 's most perfectly-developed man ?
unknown,how do i find the balance of my social security account ?
what,what movie did madilyn kahn star in with gene wilder ?
who,"who was the columbia pictures head who forged actor cliff robertson 's name on a $1 , 000 check ?"
what,in what year did ireland elect its first woman president ?
what,what attracts tourists to reims ?
what,what do italians call florence ?
who,"who did arthur h. bremer try to assassinate on may 15 , 1972 ?"
affirmation,can more than one water source be tested ?
what,what beer advertised that it had `` three rings '' ?
what,what are the developmental stages of a swimmer ?
unknown,how do i stop background noise in a car stereo ?
who,who 's the only man to have won the olympic decathlon twice ?
what,what is the amish religion ?
what,what species is a colt ?
what,what is nebraska 's most valuable resource ?
what,what is the quantity of american soldiers still unaccounted for from the vietnam war ?
who,"who provides telephone service in orange county , california ?"
who,who was the first doctor to successfully transplant a liver ?
what,what was her real name ?
what,what is a jellicle cat ?
what,what is the smallest country in africa ?
who,who is the pope ?
when,when did mount st. helen last have a significant eruption ?
what,what sport is chris jogis a top player of ?
unknown,whose first presidential order was : `` let 's get this goddamn thing airborne '' ?
what,what do bicornate animals have two of ?
what,what type of bridge is the golden gate bridge ?
affirmation,is this the same bulb as the euv-13b ?
unknown,where can i find out the top 1 singles ?
what,what is a fear of weakness ?
unknown,where is procter & gamble based in the u.s. ?
unknown,where can i buy movies on videotape online ?
unknown,what is the name of the managing director of apricot computer ?
affirmation,does this have a cello tuner setting ?
who,who famously rode to warn the people of massachusetts that the british were coming ?
when,when were fish first believed to be found on earth ?
what,what relative of the racoon is sometimes known as the cat-bear ?
affirmation,which water filter cap replacement (white color) should i use for this filter ?
who,who invented baseball ?
what,what auto race was wilbur reed the first to win three times ?
who,who is the sexiest women in the world ?
what,what kind of sport is often associated with hooligans ?
what,what toy company is the world 's no.1 maker of female apparel ?
what,what two south american countries do n't border brazil ?
what,what are the rites accompanying the circumcision of a newly born-child in judaism called ?
who,who said : `` old soldiers never die ; they just fade away '' ?
affirmation,can it be cut to fit ?
what,what country contains africa 's northernmost point ?
what,what is d.b. cooper known for ?
what,what is the population of ohio ?
unknown,how do you ask a total stranger out on a date ?
what,what company is being bought by yahoo and how much is the deal worth ?
unknown,which killer whale died at sea world of a fungal infection ?
unknown,where is logan airport ?
who,who made the largest cocaine seizure in ventura county history ?
what,what is the motto for the state of maryland ?
what,what product does `` mrs. olsen '' promote ?
who,"who claimed he killed 4 , 280 buffalo as food for the crew building the kansas pacific railway ?"
who,who was the 15th century fire-and-brimstone monk who gained control of florence but ended burnt at the stake ?
when,when was the triangle shirtwaist fire ?
unknown,how many quarters equal a pound ?
what,what is the best college in the country ?
who,who does the advertizing for frito-lay ?
what,what was the name of the movie that starred sharon stone and arnold schwarzenegger ?
